district,deals_before,deals_after,price_before,price_after,median_area,retention,price_change
أحد,84,25,1600.0,2300.58,412.5,29.76,43.79
أم الحمام الغربي,59,55,4200.0,5300.0,401.62,93.22,26.19
إشبيلية,187,87,3952.83,4501.8,223.57,46.52,13.89
الازدهار,130,18,8757.67,7428.4,141.99,13.85,-15.18
الاندلس,155,17,4690.5,4245.56,225.0,10.97,-9.49
البديعة,308,193,2200.0,2500.0,339.25,62.66,13.64
البيان,575,88,2912.12,2413.97,375.0,15.3,-17.11
الجرادية,134,100,2075.66,2212.77,155.4,74.63,6.61
الجزيرة,88,30,3099.17,3099.17,484.0,34.09,0.0
الجنادرية,7328,2936,1650.0,1433.3,314.22,40.07,-13.13
الحائر,149,72,641.03,719.96,410.44,48.32,12.31
الحزم,331,185,2777.78,3642.06,237.62,55.89,31.11
الحمراء,202,29,6582.22,5280.95,156.51,14.36,-19.77
الخالدية,122,69,2673.56,2672.92,180.3,56.56,-0.02
الخليج,194,35,4400.0,4500.0,312.5,18.04,2.27
الخير,4628,766,1904.38,1612.9,412.74,16.55,-15.31
الدار البيضاء,835,221,2662.74,2825.96,176.9,26.47,6.13
الدريهمية,115,38,3247.14,3396.42,156.63,33.04,4.6
الرابية,197,15,775.0,750.15,414.0,7.61,-3.21
الربوة,229,67,4255.32,4825.9,400.0,29.26,13.41
الربيع,114,10,6056.16,8385.21,341.9,8.77,38.46
الرفيعة,98,17,5183.66,5691.56,360.0,17.35,9.8
الرمال,4654,1244,3800.0,3800.0,312.5,26.73,0.0
الروابى,117,56,4666.67,5286.3,305.5,47.86,13.28
الروضة,204,149,5106.3,7475.71,171.64,73.04,46.4
الريان,194,70,6775.37,6298.05,167.88,36.08,-7.04
الزاهر,99,6,711.11,515.87,840.18,6.06,-27.46
الزهرة,135,50,2680.0,4060.15,250.0,37.04,51.5
السحاب,1349,5,1300.0,1470.0,300.0,0.37,13.08
السعادة,795,168,3200.0,4607.17,260.9,21.13,43.97
السلام,92,45,3421.73,4773.64,375.0,48.91,39.51
السلى,184,55,2666.67,2487.56,600.0,29.89,-6.72
السليمانية,315,66,8534.62,8417.1,300.0,20.95,-1.38
السويدى,562,194,2557.78,3054.76,375.0,34.52,19.43
الشفاء,327,208,2000.0,2270.38,338.0,63.61,13.52
الشميسي,174,147,1899.22,2535.21,109.55,84.48,33.49
الصالحية,45,81,1939.66,2525.76,95.96,180.0,30.22
الصحافة,186,80,9616.39,10054.29,152.98,43.01,4.55
الصفاء,767,593,3600.0,2950.0,400.0,77.31,-18.06
الضباط,89,33,5267.86,6000.0,450.0,37.08,13.9
العارض,535,164,7284.99,6000.0,144.4,30.65,-17.64
العريجاء,515,204,2200.0,2498.95,400.0,39.61,13.59
العزيزية,826,239,2610.09,2804.92,300.0,28.93,7.46
العقيق,212,29,8006.74,8891.38,170.82,13.68,11.05
العليا,232,122,7008.62,9779.47,400.0,52.59,39.53
العود,162,99,1902.47,2328.83,115.0,61.11,22.41
الغنامية,307,112,812.5,1000.0,300.0,36.48,23.08
الفاروق,577,100,2650.0,3900.0,400.0,17.33,47.17
الفيحاء,110,64,4608.61,4985.68,242.2,58.18,8.18
القادسية,412,83,3953.99,5381.17,214.05,20.15,36.09
القدس,134,28,6771.75,8157.7,140.45,20.9,20.47
القيروان,85,81,7661.75,6200.0,256.25,95.29,-19.08
المحمدية,141,7,9845.69,9597.24,143.42,4.96,-2.52
المربع,88,62,4761.38,5447.41,257.06,70.45,14.41
المرجان,600,277,2550.0,2600.0,325.0,46.17,1.96
المرقب,108,77,3074.67,3320.1,105.75,71.3,7.98
المروة,97,29,2270.35,2968.83,264.83,29.9,30.77
المروج,114,20,9230.46,9421.42,126.6,17.54,2.07
المصفاة,666,237,962.66,1008.61,599.9,35.59,4.77
المصيف,115,32,7828.6,7050.0,191.98,27.83,-9.95
المعذر,154,35,8915.92,9750.0,158.28,22.73,9.35
المعيزلية,490,50,3500.0,4446.3,312.0,10.2,27.04
المغرزات,72,45,8215.67,10100.16,136.74,62.5,22.94
الملز,237,96,3520.0,4494.08,500.0,40.51,27.67
الملقا,980,131,9164.12,9000.0,135.45,13.37,-1.79
الملك فهد,69,33,5952.38,7000.0,450.0,47.83,17.6
الملك فيصل,138,20,5246.07,4733.55,163.62,14.49,-9.77
المناخ,81,42,1274.65,1411.22,368.15,51.85,10.71
المنار,142,60,6216.7,6349.94,144.66,42.25,2.14
المنصورة,87,64,2777.78,2788.89,500.0,73.56,0.4
المهدية,879,182,4000.0,4554.17,400.0,20.71,13.85
المونسية,555,110,5718.95,6013.48,202.5,19.82,5.15
النخبة,229,17,525.42,471.23,900.0,7.42,-10.31
النخيل,186,18,8845.27,8354.9,142.89,9.68,-5.54
الندوة,430,96,2200.0,4138.15,270.0,22.33,88.1
الندى,241,66,8534.61,8613.82,134.32,27.39,0.93
النرجس,2717,710,6772.86,8626.63,162.59,26.13,27.37
النزهة,111,32,8600.0,7865.8,131.3,28.83,-8.54
النسيم,472,208,2365.5,2600.0,400.0,44.07,9.91
النظيم,11701,493,1300.0,1666.67,336.62,4.21,28.21
النهضة,428,109,3700.0,4581.09,336.0,25.47,23.81
الوزارات,73,57,6451.61,8000.0,112.5,78.08,24.0
الوسام,1772,50,1500.0,2258.33,300.0,2.82,50.56
الياسمين,643,250,7593.58,7070.59,162.97,38.88,-6.89
اليرموك,251,72,5000.0,4610.38,280.0,28.69,-7.79
اليمامة,234,171,2322.47,2177.86,216.3,73.08,-6.23
ام سليم,75,89,2100.39,1989.81,109.26,118.67,-5.26
بدر,1601,596,1616.16,2951.17,300.0,37.23,82.6
ثليم,69,46,2976.79,3047.39,112.57,66.67,2.37
جرير,225,37,7180.83,4342.86,148.36,16.44,-39.52
حطين,545,64,8707.54,9648.14,163.59,11.74,10.8
ديراب,482,411,1450.0,1400.0,375.0,85.27,-3.45
سدرة,700,10,4325.0,7772.5,250.0,1.43,79.71
سلطانة,103,39,2211.62,2420.0,242.88,37.86,9.42
شبرا,117,36,3170.85,2869.5,400.0,30.77,-9.5
طويق,1408,380,3075.02,3289.67,300.0,26.99,6.98
طيبة,334,46,1400.0,1725.0,1021.49,13.77,23.21
عتيقة,99,84,1935.48,2212.16,180.0,84.85,14.3
عرقة,171,55,7500.0,6597.57,395.75,32.16,-12.03
عريض,4579,688,955.56,880.4,414.0,15.03,-7.87
عكاظ,896,314,1700.34,2830.0,300.0,35.04,66.44
غبيراء,175,121,2584.48,2834.21,156.0,69.14,9.66
قرطبة,564,89,6946.46,6095.06,149.86,15.78,-12.26
لبن,1258,296,3531.68,3100.86,200.0,23.53,-12.2
منفوحة,754,513,3301.02,3254.5,130.23,68.04,-1.41
نمار,5812,1279,1325.25,1333.33,468.0,22.01,0.61
